87,"Clean Max Enviro Energy
Solutions Limited",Clean Max Hybrid Power LLP,"Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,25.00
88,"Clean Max Enviro Energy
Solutions Limited",Clean Max Charge LLP,"Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,60.00
89,"Clean Max Enviro Energy
Solutions Limited",Clean Max Charge LLP,"Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,50.00
90,"Clean Max Enviro Energy
Solutions Limited","Clean Max Bhoomi Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest-
1 year of Moratorium period and during the same period the interest will not be charged. Interest on the
FacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutuallyagreed
betweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshallbepaid
bytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderifrequiredby
theseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermittedunderthis
Agreement.",Fixed,10%,20 years,200.00
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
100,"Clean Max Enviro Energy
Solutions Limited","Clean Max Aurora Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,29.50
101,"Clean Max Enviro Energy
Solutions Limited","Clean Max Jasper Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,287.80
102,"Clean Max Enviro Energy
Solutions Limited","Clean Max Bloom Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,150.00
103,"Clean Max Enviro Energy
Solutions Limited","Clean Max Bryce Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,16.40
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
104,"Clean Max Enviro Energy
Solutions Limited","Clean Max Ame Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,54.80
105,"Clean Max Enviro Energy
Solutions Limited","Clean Max Sapphire Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,250.00
106,"Clean Max Enviro Energy
Solutions Limited","Clean Max Serengeti Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,55.30
107,"Clean Max Enviro Energy
Solutions Limited","Clean Max Patagonia Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,500.00
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
108,"Clean Max Enviro Energy
Solutions Limited","Clean Max Everglades Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,65.71
109,"Clean Max Enviro Energy
Solutions Limited","Clean Max Sundarban Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,52.37
110,"Clean Max Enviro Energy
Solutions Limited","Clean Max Narmada Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,16.54
111,"Clean Max Enviro Energy
Solutions Limited",Clean Max Leo Private Limited,"Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,23.18
112,"Clean Max Enviro Energy
Solutions Limited","Clean Max Atlas Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,"3,000.00"
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
113,"Clean Max Enviro Energy
Solutions Limited","Clean Max Godavari Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,46.60
114,"Clean Max Enviro Energy
Solutions Limited","VEH Green Energy Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,14%,20 years,"4,000.00"
115,"Clean Max Enviro Energy
Solutions Limited","Clean Max Centaurus Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,256.20
116,"Clean Max Enviro Energy
Solutions Limited","Clean Max Banff Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,133.20
117,"Clean Max Enviro Energy
Solutions Limited","Clean Max Celestial Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,9%,20 years,"3,100.00"
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
124,"Clean Max Enviro Energy
Solutions Limited","Clean Max Nabia Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,129.00
125,"Clean Max Enviro Energy
Solutions Limited","Clean Max Taurus Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,750.00
126,"Clean Max Enviro Energy
Solutions Limited","Clean Max IPP 4 Power Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,500.00
127,"Clean Max Enviro Energy
Solutions Limited","Clean Max Kruger Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,500.00
128,"Clean Max Enviro Energy
Solutions Limited",Clean Max Vega Power LLP,"Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,500.00
129,"Clean Max Enviro Energy
Solutions Limited",Clean Max Terra Private L,"Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,"1,000.00"
